NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
5,Sarrià-Sant Gervasi,27,El Putxet i Farró,0.9986281430728196,0.9681769890187475,0.5094258340226082,0.5811897106109324,0.5357838680348097,0.4817954151415912,0.43709655267133635,0.48404971107417083,0.4473957841005766,0.4568193341220213,0.49571020019065776,0.5071187321382177,0.372093023255814,0.0
6,Gràcia,28,Vallcarca i els Penitents,0.9988261126465724,0.9676434525593456,0.27534808381582576,0.4521704180064309,0.2847123002987401,0.22654594490464264,0.24481527262738634,0.26414944985355815,0.24652613668588713,0.27632246070643907,0.27645376549094375,0.2643283969862302,0.46511627906976744,0.0
6,Gràcia,29,El Coll,0.998901944327878,0.9702600845169097,0.12853253377446927,0.3496784565916399,0.12261332640602676,0.11519938354844923,0.11928306551297899,0.13021451753344415,0.11069099158710653,0.11526111205002534,0.08007626310772165,0.1309431021044427,0.38953488372093026,0.0
6,Gràcia,30,La Salut,0.9987378509654112,0.9729365662447748,0.2299937965260546,0.4417202572347267,0.2222366541109235,0.1896551724137931,0.211578079934075,0.19615293279506055,0.23064561867851405,0.24150752070305898,0.22783603431839847,0.21597817614964926,0.4825581395348838,0.08333333333333333
6,Gràcia,31,Vila de Gràcia,0.9985283280516687,0.9743841628022158,0.8633512544802867,0.41961414790996787,0.7569814261592415,0.7658447312656521,0.992583436341162,0.7687801788965408,0.6484544853010682,0.7356768632753085,0.899904671115348,0.9130683294362172,0.436046511627907,0.75
6,Gràcia,32,Camp d'en Grassot i Gràcia Nova,0.9985623477602364,0.9787269524745396,0.6015818858560794,0.42483922829581994,0.5235744901935316,0.5093430938162203,0.5784919653893696,0.5380353043615926,0.5836090367709613,0.6068953861754267,0.5776930409914204,0.5926994024421928,0.4302325581395349,0.25
7,Horta - Guinardó,33,Baix Guinardó,0.9987275143376696,0.9795718957222771,0.44497863247863245,0.3697749196141479,0.36758020522145735,0.3680408399152379,0.4026919379206153,0.4165281405841843,0.41487853294262217,0.5154639175257731,0.5786463298379408,0.4327097947518836,0.4534883720930233,0.08333333333333333
7,Horta - Guinardó,34,Can Baró,0.9988397822700064,0.9767490643674116,0.15849875930521093,0.3348070739549839,0.14482400311728796,0.13513773839337315,0.14894932014833126,0.15245784849204463,0.14292466206635787,0.15818827108331926,0.1306005719733079,0.15814497272018707,0.4767441860465116,0.08333333333333333
7,Horta - Guinardó,35,El Guinardó,0.9988793585792081,0.9818215243713911,0.638389164598842,0.31792604501607713,0.5943629042732822,0.5316894625313042,0.599848921851394,0.6237631599778358,0.5579922487947822,0.6506675680243367,0.555767397521449,0.6348921797869577,0.48837209302325585,0.0
7,Horta - Guinardó,36,La Font d'en Fargues,0.9990736104880836,0.9783360544276071,0.16337537910118555,0.3717845659163987,0.17287959475256526,0.12868426122134463,0.1242274412855377,0.16892266286709412,0.16787976179222988,0.15937130302518168,0.14489990467111535,0.15183164458300857,0.622093023255814,0.0
